Timestamp,User,Item
2023-01-01 07:19:00,10,B
2023-01-01 16:41:00,8,H
2023-01-03 15:12:00,5,A
2023-01-04 03:29:00,7,C
2023-01-04 09:00:00,8,D
2023-01-04 12:49:00,10,F
2023-01-05 00:48:00,4,E
2023-01-05 14:22:00,10,A
2023-01-06 10:58:00,7,G
2023-01-06 20:46:00,10,B
2023-01-07 16:44:00,6,A
2023-01-08 09:28:00,3,C
2023-01-08 14:39:00,4,H
2023-01-09 00:16:00,7,F
2023-01-10 07:01:00,9,H
2023-01-10 14:51:00,3,C
2023-01-12 12:53:00,7,A
2023-01-12 20:40:00,9,F
2023-01-13 01:35:00,10,A
2023-01-13 15:10:00,8,A
2023-01-14 10:42:00,10,A
2023-01-17 05:50:00,5,G
2023-01-17 21:32:00,9,A
2023-01-20 02:09:00,10,F
2023-01-20 02:25:00,5,H
2023-01-21 02:51:00,7,G
2023-01-21 09:00:00,8,A
2023-01-22 05:50:00,5,B
2023-01-22 17:21:00,2,H
2023-01-23 07:22:00,1,A
2023-01-24 06:42:00,3,H
2023-01-24 07:44:00,9,C
2023-01-25 12:20:00,4,B
2023-01-28 05:42:00,7,C
2023-01-29 19:56:00,10,C
2023-01-30 06:12:00,1,E
